MCC;Название;Группа;Обновлено;;;;;
5621;Готовая женская одежда;Магазины одежды;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5621,'Готовая женская одежда ');";
5631;Аксессуары для женщин;Магазины одежды;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5631,'Аксессуары для женщин ');";
5641;Детская одежда, включая одежду для самых маленьких;Магазины одежды;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5641,'Детская одежда, включая одежду для самых маленьких ');";
5651;Одежда для всей семьи;Магазины одежды;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5651,'Одежда для всей семьи ');";
5655;Спортивная одежда, одежда для верховой езды и езды на мотоцикле;Магазины одежды;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5655,'Спортивная одежда, одежда для верховой езды и езды на мотоцикле ');";
5661;Обувные магазины;Магазины одежды;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5661,'Обувные магазины ');";
5681;Изготовление и продажа меховых изделий;Магазины одежды;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5681,'Изготовление и продажа меховых изделий ');";
5691;Магазины мужской и женской одежды;Магазины одежды;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5691,'Магазины мужской и женской одежды ');";
5697;Услуги по переделке, починке и пошиву одежды;Магазины одежды;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5697,'Услуги по переделке, починке и пошиву одежды ');";
5698;Парики и накладки из искусственных волос;Магазины одежды;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5698,'Парики и накладки из искусственных волос ');";
5699;Различные магазины одежды и аксессуаров;Магазины одежды;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5699,'Различные магазины одежды и аксессуаров ');";
5712;Оборудование, мебель и бытовые принадлежности (кроме электрооборудования);Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5712,'Оборудование, мебель и бытовые принадлежности (кроме электрооборудования) ');";
5713;Покрытия для пола;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5713,'Покрытия для пола ');";
5714;Ткани, обивочный материал, гардины и портьеры, жалюзи;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5714,'Ткани, обивочный материал, гардины и портьеры, жалюзи ');";
5715;Оптовые продавцы алкоголя;Оптовые поставщики и производители;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5715,'Оптовые продавцы алкоголя ');";
5718;Продажа каминов, экранов для каминов и аксессуаров;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5718,'Продажа каминов, экранов для каминов и аксессуаров ');";
5719;Различные специализированные магазины бытовых принадлежностей;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5719,'Различные специализированные магазины бытовых принадлежностей ');";
5722;Бытовое оборудование;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5722,'Бытовое оборудование ');";
5732;Продажа электронного оборудования;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5732,'Продажа электронного оборудования ');";
5733;Продажа музыкальных инструментов, фортепиано, нот.;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5733,'Продажа музыкальных инструментов, фортепиано, нот. ');";
5734;Продажа компьютерного программного обеспечения;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5734,'Продажа компьютерного программного обеспечения ');";
5735;Магазины звукозаписи;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5735,'Магазины звукозаписи ');";
5811;Поставщики провизии;Поставщик услуг;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5811,'Поставщики провизии ');";
5812;Места общественного питания, рестораны;Различные магазины;18.11.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5812,'Места общественного питания, рестораны ');";
5813;Бары, коктейль-бары, дискотеки, ночные клубы и таверны – места продажи алкогольных напитков;Различные магазины;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5813,'Бары, коктейль-бары, дискотеки, ночные клубы и таверны – места продажи алкогольных напитков ');";
5814;Фастфуд;Различные магазины;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5814,'Фастфуд ');";
5815;Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку;Различные магазины;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5815,'Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку ');";
5816;Цифровые товары – игры;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5816,'Цифровые товары – игры ');";
5817;Цифровые товары - приложения (кроме игр);Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5817,'Цифровые товары - приложения (кроме игр) ');";
5818;Цифровые товары - мультикатегория;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5818,'Цифровые товары - мультикатегория ');";
5912;Аптеки;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5912,'Аптеки ');";
5921;Магазины с продажей спиртных напитков навынос;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5921,'Магазины с продажей спиртных напитков навынос ');";
5931;Секонд-хенды, магазины б/у товаров, комиссионки;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5931,'Секонд-хенды, магазины б/у товаров, комиссионки ');";
5932;Антикварные магазины – продажа, ремонт и услуги реставрации;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5932,'Антикварные магазины – продажа, ремонт и услуги реставрации ');";
5933;Ломбарды;Различные магазины;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5933,'Ломбарды ');";
5935;Уничтожение и сбор остатков;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5935,'Уничтожение и сбор остатков ');";
5937;Магазины репродукций и антиквариата;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5937,'Магазины репродукций и антиквариата ');";
5940;Веломагазины – продажа и обслуживание;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5940,'Веломагазины – продажа и обслуживание ');";
5941;Спорттовары;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5941,'Спорттовары ');";
5942;Книжные магазины;Различные магазины;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5942,'Книжные магазины ');";
5943;Магазины офисных, школьных принадлежностей, канцтоваров;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5943,'Магазины офисных, школьных принадлежностей, канцтоваров ');";
5944;Часы, ювелирные и серебряные изделия;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5944,'Часы, ювелирные и серебряные изделия ');";
5945;Игрушки, игры и хобби-товары;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5945,'Игрушки, игры и хобби-товары ');";
5946;Магазины фотооборудования и фотоприборов;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5946,'Магазины фотооборудования и фотоприборов ');";
5947;Магазины открыток, подарков, новинок и сувениров;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5947,'Магазины открыток, подарков, новинок и сувениров ');";
5948;Магазины кожаных изделий, дорожных принадлежностей;Различные магазины;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5948,'Магазины кожаных изделий, дорожных принадлежностей ');";
5949;Магазины ткани, ниток, рукоделия, шитья;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5949,'Магазины ткани, ниток, рукоделия, шитья ');";
5950;Магазины хрусталя и изделий из стекла;Различные магазины;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5950,'Магазины хрусталя и изделий из стекла ');";
5960;Прямой маркетинг – страховые услуги;Продажи по почте/телефону;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5960,'Прямой маркетинг – страховые услуги ');";
5961;Заказы по почте, включая заказы по каталогу;Продажи по почте/телефону;31.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5961,'Заказы по почте, включая заказы по каталогу ');";
5962;Прямой маркетинг – услуги, относящиеся к туризму;Продажи по почте/телефону;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5962,'Прямой маркетинг – услуги, относящиеся к туризму ');";
5963;"Продажа ""от двери до двери""";Различные магазины;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5963,'Продажа ""от двери до двери"" ');";
5964;Прямой маркетинг – торговля по каталогам;Продажи по почте/телефону;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5964,'Прямой маркетинг – торговля по каталогам ');";
5965;Прямой маркетинг – комбинированный каталог и розничные продавцы;Продажи по почте/телефону;30.12.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5965,'Прямой маркетинг – комбинированный каталог и розничные продавцы ');";
5966;Прямой маркетинг - исходящий телемаркетинг;Продажи по почте/телефону;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5966,'Прямой маркетинг - исходящий телемаркетинг ');";
5967;Прямой маркетинг – входящий телемаркетинг;Продажи по почте/телефону;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5967,'Прямой маркетинг – входящий телемаркетинг ');";
5968;Прямой маркетинг – Торговые точки подписки;Продажи по почте/телефону;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5968,'Прямой маркетинг – Торговые точки подписки ');";
5969;Прямой маркетинг – другие торговые точки прямого маркетинга (нигде более не классифицированные);Продажи по почте/телефону;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5969,'Прямой маркетинг – другие торговые точки прямого маркетинга (нигде более не классифицированные) ');";
5970;Магазины художественных и ремесляных изделий;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5970,'Магазины художественных и ремесляных изделий ');";
5971;Галереи и художественные посредники;Различные магазины;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5971,'Галереи и художественные посредники ');";
5972;Магазины монет и марок (филателические и нумизматические);Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5972,'Магазины монет и марок (филателические и нумизматические) ');";
5973;Магазины религиозных товаров;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5973,'Магазины религиозных товаров ');";
5975;Слуховые аппараты – продажа, сервис, снабжение;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5975,'Слуховые аппараты – продажа, сервис, снабжение ');";
5976;Ортопедические товары;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5976,'Ортопедические товары ');";
5977;Магазины косметики;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5977,'Магазины косметики ');";
5978;Магазины печатающих устройств – аренда, продажа, услуги;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5978,'Магазины печатающих устройств – аренда, продажа, услуги ');";
5983;Поставщики топлива – уголь, мазут, сжиженная нефть, древесина;Различные магазины;05.04.2019;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5983,'Поставщики топлива – уголь, мазут, сжиженная нефть, древесина ');";
5992;Флористика;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5992,'Флористика ');";
5993;Табачные магазины;Различные магазины;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5993,'Табачные магазины ');";
5994;Дилеры по продаже печатной продукции;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5994,'Дилеры по продаже печатной продукции ');";
5995;Зоомагазины;Различные магазины;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5995,'Зоомагазины ');";
5996;Плавательные бассейны – продажа и снабжение;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5996,'Плавательные бассейны – продажа и снабжение ');";
5997;Магазины электрических бритвенных принадлежностей – распродажа и услуги.;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5997,'Магазины электрических бритвенных принадлежностей – распродажа и услуги. ');";
5998;Магазины палаток и навесов;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5998,'Магазины палаток и навесов ');";
5999;Различные магазины и специальные розничные магазины;Различные магазины;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 5999,'Различные магазины и специальные розничные магазины ');";
6010;Финансовые учреждения – снятие наличности вручную;Поставщик услуг;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6010,'Финансовые учреждения – снятие наличности вручную ');";
6011;Финансовые учреждения – снятие наличности автоматически;Поставщик услуг;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6011,'Финансовые учреждения – снятие наличности автоматически ');";
6012;Финансовые учреждения – торговля и услуги;Поставщик услуг;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6012,'Финансовые учреждения – торговля и услуги ');";
6022;Financial Institution (RCL Internal);Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6022,'Financial Institution (RCL Internal) ');";
6023;State Banks (RCL Internal);Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6023,'State Banks (RCL Internal) ');";
6025;National Banks (RCL Internal);Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6025,'National Banks (RCL Internal) ');";
6026;National Banks Non Federal (RCL Internal);Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6026,'National Banks Non Federal (RCL Internal) ');";
6028;Unincorporated Private Banks (RCL Internal);Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6028,'Unincorporated Private Banks (RCL Internal) ');";
6050;Финансовые учреждения – квази-кэш (электронные деньги);Поставщик услуг;05.04.2019;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6050,'Финансовые учреждения – квази-кэш (электронные деньги) ');";
6051;Нефинансовые учреждения – квази-кэш;Поставщик услуг;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6051,'Нефинансовые учреждения – квази-кэш ');";
6211;Ценные бумаги – Брокеры/Дилеры;Поставщик услуг;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6211,'Ценные бумаги – Брокеры/Дилеры ');";
6300;Продажа страхования, андеррайтинг, премии;Поставщик услуг;18.11.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6300,'Продажа страхования, андеррайтинг, премии ');";
6381;Страховые премии;;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6381,'Страховые премии ');";
6399;Страхование - нигде более не классифицированные;Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6399,'Страхование - нигде более не классифицированные ');";
6513;Агенты недвижимости и менеджеры - Аренда;Поставщик услуг;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6513,'Агенты недвижимости и менеджеры - Аренда ');";
6529;Remote Stored Value Load - Финансовые организации;Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6529,'Remote Stored Value Load - Финансовые организации ');";
6530;Remote Stored Value Load - Продавец;Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6530,'Remote Stored Value Load - Продавец ');";
6531;Оплата услуг – денежные переводы;Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6531,'Оплата услуг – денежные переводы ');";
6532;Платежная операция - финансовое учреждение;Поставщик услуг;09.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6532,'Платежная операция - финансовое учреждение ');";
6533;Платежная операция - продавец;Поставщик услуг;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6533,'Платежная операция - продавец ');";
6534;Денежный перевод - финансовое учреждение;Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6534,'Денежный перевод - финансовое учреждение ');";
6535;Права требования на ценности — Финансовые организации;Поставщик услуг;06.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6535,'Права требования на ценности — Финансовые организации ');";
6536;Денежные переводы MasterCard MoneySend - внутри страны;Поставщик услуг;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6536,'Денежные переводы MasterCard MoneySend - внутри страны ');";
6537;Денежные переводы MasterCard MoneySend - между странами;Поставщик услуг;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6537,'Денежные переводы MasterCard MoneySend - между странами ');";
6538;Денежные переводы MasterCard MoneySend Funding;Поставщик услуг;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6538,'Денежные переводы MasterCard MoneySend Funding ');";
6539;Транзакция по финансированию (исключая MoneySend);Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6539,'Транзакция по финансированию (исключая MoneySend) ');";
6540;Транзакции по финансированию POI (за исключением MoneySend);Поставщик услуг;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6540,'Транзакции по финансированию POI (за исключением MoneySend) ');";
6611;Переплата (авансовые платежи);Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6611,'Переплата (авансовые платежи) ');";
6760;Облигации сберегательного займа;Поставщик услуг;14.10.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 6760,'Облигации сберегательного займа ');";
7011;Отели и мотели - нигде более не классифицированные;Отели и мотели;01.05.2019;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7011,'Отели и мотели - нигде более не классифицированные ');";
7012;Тайм-шер;Поставщик услуг;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7012,'Тайм-шер ');";
7032;Рекреационные и спортивные лагеря;Поставщик услуг;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7032,'Рекреационные и спортивные лагеря ');";
7033;Кемпинги и трейлер-парки;Поставщик услуг;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7033,'Кемпинги и трейлер-парки ');";
7210;Услуги по уборке и прачечной;Личные услуги;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7210,'Услуги по уборке и прачечной ');";
7211;Услуги прачечной - семейные и коммерческие;Личные услуги;09.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7211,'Услуги прачечной - семейные и коммерческие ');";
7216;Химчистка;Личные услуги;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7216,'Химчистка ');";
7217;Чистка ковров и обивок;Личные услуги;09.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7217,'Чистка ковров и обивок ');";
7221;Фотостудии;Личные услуги;01.01.2018;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7221,'Фотостудии ');";
7230;Парикмахерские и салоны красоты;Личные услуги;18.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7230,'Парикмахерские и салоны красоты ');";
7251;Чистка шляп, ремонт и чистка обуви;Личные услуги;09.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7251,'Чистка шляп, ремонт и чистка обуви ');";
7261;Похоронные службы и крематории;Личные услуги;12.07.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7261,'Похоронные службы и крематории ');";
7273;Знакомства;Личные услуги;17.04.2017;;;;"insert into mcc_codes (""ID"", ""MCC"", ""MCC_DESC"") values (seq_mcc_merch_id.NEXTVAL, 7273,'Знакомства ');";
